Company Name,Industry,Symbol,Series,ISIN Code,Name,Volume
Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013,Biocon,"25,12,581"
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01047,Shriram Finance,"24,80,723"
Jindal Steel Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030,Jindal Steel,"24,26,076"
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029,CG Power & Industrial Solutions,"23,44,143"
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013,Fortis Healthcare,"23,21,964"
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011,Power Finance Corporation,"22,16,904"
DLF Ltd.,Realty,DLF,EQ,INE271C01023,DLF,"21,31,129"
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027,HCL Technologies,"21,29,445"
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039,Blue Star,"20,01,620"
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01028,Kotak Bank,"19,36,242"
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020,Exide Industries,"18,06,878"
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028,Godrej Consumer Products,"17,21,671"
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015,Hindustan Petroleum,"17,09,268"
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031,Dr Reddys Laboratories,"16,80,920"
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024,Divis Laboratories,"16,51,908"
Indian Bank,Financial Services,INDIANB,EQ,INE562A01011,Indian Bank,"16,37,650"
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026,Dabur India,"16,13,675"
JSW Energy Ltd.,Power,JSWENERGY,EQ,INE121E01018,JSW Energy,"16,05,532"
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027,Zydus Life Science,"15,59,044"
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014,Kalyan Jewellers,"15,46,536"
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029,Indian Hotels Company,"15,05,485"
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,Cipla,"14,95,524"
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038,JSW Steel,"14,57,768"
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037,Aurobindo Pharma,"14,55,177"
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036,Sun Pharmaceutical,"14,54,056"
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026,Mahindra & Mahindra,"14,16,272"
Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011,Prestige Estates Projects,"14,15,750"
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026,Marico,"14,12,130"
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01025,Coforge,"13,74,406"
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,Adani Ports & SEZ,"13,59,246"
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020,Jubilant FoodWorks,"13,55,094"
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,INE274J01014,Oil India,"13,48,389"
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,Adani Green Energy,"13,35,270"
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL,EQ,INE203G01027,Indraprastha Gas,"12,04,131"
Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025,Container Corporation of India,"11,59,952"
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,Bharat Electronics,"11,33,748"
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030,Larsen & Toubro,"11,29,678"
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,Asian Paints,"11,17,236"
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024,Nestle,"11,10,822"
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016,SBI Life Insurance,"10,97,936"
Lodha Developers Ltd.,Realty,LODHA,EQ,INE670K01029,Lodha Developers,"10,61,874"
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027,Hindustan Unilever,"10,18,875"
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026,LIC Housing Finance,"9,87,991"
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025,Tata Consumer Products,"9,82,270"
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010,Adani Energy Solutions,"9,74,648"
UPL Ltd.,Chemicals,UPL,EQ,INE628A01036,UPL,"9,60,905"
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017,AU Small Finance Bank,"9,49,662"
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036,Tech Mahindra,"9,37,053"
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01020,Mazagon Dock Shipbuilders,"9,00,332"
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027,Godrej Properties,"8,92,776"
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,Ambuja Cements,"8,91,468"
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035,Glenmark Pharmaceuticals,"8,67,422"
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037,Lupin,"8,55,550"
United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR,EQ,INE854D01024,United Spirits,"8,49,804"
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026,Hero Motocorp,"8,35,407"
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028,Titan,"8,25,274"
